listing_id,entire_home_or_apt,year-month,season,percentage_of_nights_available
12899,True,2023-03,Spring-23,0.0
12899,True,2023-04,Spring-23,0.0
12899,True,2023-05,Spring-23,0.0
12899,True,2023-06,Summer-23,0.0
12899,True,2023-07,Summer-23,0.0
12899,True,2023-08,Summer-23,0.0
12899,True,2023-09,Fall-23,0.0
12899,True,2023-10,Fall-23,0.0
12899,True,2023-11,Fall-23,0.0
12899,True,2023-12,Winter-23,0.0
12899,True,2024-01,Winter-24,0.0
12899,True,2024-02,Winter-24,0.0
12899,True,2024-03,Spring-24,0.0
1360216,True,2023-03,Spring-23,0.0
1360216,True,2023-04,Spring-23,0.0
1360216,True,2023-05,Spring-23,0.0
1360216,True,2023-06,Summer-23,0.0
1360216,True,2023-07,Summer-23,0.258
1360216,True,2023-08,Summer-23,1.0
1360216,True,2023-09,Fall-23,0.967
1360216,True,2023-10,Fall-23,0.032
1360216,True,2023-11,Fall-23,1.0
1360216,True,2023-12,Winter-23,1.0
1360216,True,2024-01,Winter-24,1.0
1360216,True,2024-02,Winter-24,1.0
1360216,True,2024-03,Spring-24,1.0
1386231,False,2023-03,Spring-23,0.0
1386231,False,2023-04,Spring-23,0.0
1386231,False,2023-05,Spring-23,0.645
1386231,False,2023-06,Summer-23,1.0
1386231,False,2023-07,Summer-23,1.0
1386231,False,2023-08,Summer-23,1.0
1386231,False,2023-09,Fall-23,1.0
1386231,False,2023-10,Fall-23,1.0
1386231,False,2023-11,Fall-23,1.0
1386231,False,2023-12,Winter-23,1.0
1386231,False,2024-01,Winter-24,1.0
1386231,False,2024-02,Winter-24,1.0
1386231,False,2024-03,Spring-24,1.0
1386922,True,2023-03,Spring-23,1.0
1386922,True,2023-04,Spring-23,1.0
1386922,True,2023-05,Spring-23,0.742
1386922,True,2023-06,Summer-23,0.667
1386922,True,2023-07,Summer-23,0.0
1386922,True,2023-08,Summer-23,0.0
1386922,True,2023-09,Fall-23,0.0
1386922,True,2023-10,Fall-23,0.0
1386922,True,2023-11,Fall-23,0.0
1386922,True,2023-12,Winter-23,0.0
1386922,True,2024-01,Winter-24,0.0
1386922,True,2024-02,Winter-24,0.0
1386922,True,2024-03,Spring-24,0.0
1408895,True,2023-03,Spring-23,0.0
1408895,True,2023-04,Spring-23,0.8
1408895,True,2023-05,Spring-23,1.0
1408895,True,2023-06,Summer-23,1.0
1408895,True,2023-07,Summer-23,1.0
1408895,True,2023-08,Summer-23,1.0
1408895,True,2023-09,Fall-23,1.0
1408895,True,2023-10,Fall-23,1.0
1408895,True,2023-11,Fall-23,1.0
1408895,True,2023-12,Winter-23,0.548
1408895,True,2024-01,Winter-24,0.0
1408895,True,2024-02,Winter-24,0.0
1408895,True,2024-03,Spring-24,0.0
1411299,True,2023-03,Spring-23,0.222
