listing_id,entire_home_or_apt,year-month,available_dates,min_nights,percentage_of_nights_available
199568,True,2023-03,[],3.0,0.0
199568,True,2023-04,[],3.0,0.0
199568,True,2023-05,[],3.0,0.0
199568,True,2023-06,['2023-06-01 - 2023-06-30'],3.0,1.0
199568,True,2023-07,"['2023-07-01 - 2023-07-09', '2023-07-14 - 2023-07-31']",3.0,0.871
199568,True,2023-08,[],3.0,0.0
199568,True,2023-09,[],3.0,0.0
199568,True,2023-10,[],3.0,0.0
199568,True,2023-11,[],3.0,0.0
199568,True,2023-12,[],3.0,0.0
199568,True,2024-01,[],3.0,0.0
199568,True,2024-02,[],3.0,0.0
199568,True,2024-03,[],3.0,0.0
5021839,True,2023-03,[],3.0,0.0
5021839,True,2023-04,['2023-04-04 - 2023-04-06'],3.0,0.1
5021839,True,2023-05,[],3.0,0.0
5021839,True,2023-06,[],3.0,0.0
5021839,True,2023-07,['2023-07-17 - 2023-07-20'],3.0,0.129
5021839,True,2023-08,[],3.0,0.0
5021839,True,2023-09,[],3.0,0.0
5021839,True,2023-10,[],3.0,0.0
5021839,True,2023-11,[],3.0,0.0
5021839,True,2023-12,[],3.0,0.0
5021839,True,2024-01,[],3.0,0.0
5021839,True,2024-02,[],3.0,0.0
5021839,True,2024-03,[],3.0,0.0
7293821,True,2023-03,['2023-03-27 - 2023-03-31'],2.0,1.0
7293821,True,2023-04,"['2023-04-01 - 2023-04-13', '2023-04-16 - 2023-04-18', '2023-04-23 - 2023-04-30']",2.0,0.8
7293821,True,2023-05,['2023-05-01 - 2023-05-22'],2.0,0.71
7293821,True,2023-06,['2023-06-05 - 2023-06-23'],2.0,0.633
7293821,True,2023-07,[],4.0,0.0
7293821,True,2023-08,[],2.0,0.0
7293821,True,2023-09,[],2.0,0.0
7293821,True,2023-10,[],2.0,0.0
7293821,True,2023-11,[],2.0,0.0
7293821,True,2023-12,[],2.0,0.0
7293821,True,2024-01,[],2.0,0.0
7293821,True,2024-02,[],2.0,0.0
7293821,True,2024-03,[],2.0,0.0
8524259,False,2023-03,[],1.0,0.0
8524259,False,2023-04,[],1.0,0.0
8524259,False,2023-05,[],1.0,0.0
8524259,False,2023-06,['2023-06-03 - 2023-06-30'],1.0,0.933
8524259,False,2023-07,['2023-07-01 - 2023-07-31'],1.0,1.0
8524259,False,2023-08,['2023-08-01 - 2023-08-31'],1.0,1.0
8524259,False,2023-09,['2023-09-01 - 2023-09-30'],1.0,1.0
8524259,False,2023-10,['2023-10-01 - 2023-10-31'],1.0,1.0
8524259,False,2023-11,['2023-11-01 - 2023-11-30'],1.0,1.0
8524259,False,2023-12,['2023-12-01 - 2023-12-31'],1.0,1.0
8524259,False,2024-01,['2024-01-01 - 2024-01-31'],1.0,1.0
8524259,False,2024-02,['2024-02-01 - 2024-02-29'],1.0,1.0
8524259,False,2024-03,['2024-03-01 - 2024-03-24'],1.0,0.96
8698684,True,2023-03,[],3.0,0.0
8698684,True,2023-04,[],3.0,0.0
8698684,True,2023-05,[],3.0,0.0
8698684,True,2023-06,[],3.0,0.0
8698684,True,2023-07,[],3.0,0.0
8698684,True,2023-08,[],3.0,0.0
8698684,True,2023-09,[],3.0,0.0
8698684,True,2023-10,[],3.0,0.0
8698684,True,2023-11,[],3.0,0.0
8698684,True,2023-12,[],3.0,0.0
8698684,True,2024-01,[],3.0,0.0
8698684,True,2024-02,[],3.0,0.0
8698684,True,2024-03,[],3.0,0.0
9238563,True,2023-03,['2023-03-29 - 2023-03-31'],2.0,0.6
9238563,True,2023-04,['2023-04-01 - 2023-04-30'],2.0,1.0
9238563,True,2023-05,"['2023-05-01 - 2023-05-09', '2023-05-14 - 2023-05-17', '2023-05-23 - 2023-05-24']",2.0,0.484
9238563,True,2023-06,"['2023-06-05 - 2023-06-11', '2023-06-26 - 2023-06-30']",2.0,0.4
9238563,True,2023-07,"['2023-07-01', '2023-07-11 - 2023-07-12', '2023-07-18 - 2023-07-19', '2023-07-25 - 2023-07-31']",2.0,0.387
9238563,True,2023-08,"['2023-08-01', '2023-08-06 - 2023-08-31']",2.0,0.871
9238563,True,2023-09,['2023-09-01 - 2023-09-21'],2.0,0.7
9238563,True,2023-10,[],2.0,0.0
9238563,True,2023-11,[],2.0,0.0
9238563,True,2023-12,[],2.0,0.0
9238563,True,2024-01,[],2.0,0.0
9238563,True,2024-02,[],2.0,0.0
9238563,True,2024-03,[],2.0,0.0
9477671,True,2023-03,[],1.0,0.0
9477671,True,2023-04,"['2023-04-05', '2023-04-09 - 2023-04-14', '2023-04-16 - 2023-04-21', '2023-04-24', '2023-04-26 - 2023-04-27', '2023-04-30']",1.0,0.567
9477671,True,2023-05,"['2023-05-01', '2023-05-03', '2023-05-09 - 2023-05-17', '2023-05-21 - 2023-05-24', '2023-05-28 - 2023-05-31']",1.0,0.613
9477671,True,2023-06,"['2023-06-05 - 2023-06-15', '2023-06-19 - 2023-06-23']",1.0,0.533
9477671,True,2023-07,[],1.0,0.0
9477671,True,2023-08,[],1.0,0.0
9477671,True,2023-09,[],1.0,0.0
9477671,True,2023-10,[],1.0,0.0
9477671,True,2023-11,[],1.0,0.0
9477671,True,2023-12,[],1.0,0.0
9477671,True,2024-01,[],1.0,0.0
9477671,True,2024-02,[],1.0,0.0
9477671,True,2024-03,[],1.0,0.0
9597053,True,2023-03,[],3.0,0.0
9597053,True,2023-04,['2023-04-26 - 2023-04-30'],3.0,0.167
9597053,True,2023-05,"['2023-05-01 - 2023-05-16', '2023-05-23 - 2023-05-31']",3.0,0.806
9597053,True,2023-06,"['2023-06-01 - 2023-06-12', '2023-06-21 - 2023-06-30']",3.0,0.733
9597053,True,2023-07,[],3.0,0.0
9597053,True,2023-08,['2023-08-12 - 2023-08-31'],3.0,0.645
9597053,True,2023-09,['2023-09-01 - 2023-09-21'],3.0,0.7
9597053,True,2023-10,[],3.0,0.0
9597053,True,2023-11,[],3.0,0.0
9597053,True,2023-12,[],3.0,0.0
9597053,True,2024-01,[],3.0,0.0
9597053,True,2024-02,[],3.0,0.0
9597053,True,2024-03,[],3.0,0.0
10074172,False,2023-03,['2023-03-27 - 2023-03-31'],1.0,1.0
10074172,False,2023-04,['2023-04-01 - 2023-04-30'],1.0,1.0
10074172,False,2023-05,['2023-05-01 - 2023-05-31'],1.0,1.0
10074172,False,2023-06,['2023-06-01 - 2023-06-30'],1.0,1.0
10074172,False,2023-07,['2023-07-01 - 2023-07-31'],1.0,1.0
10074172,False,2023-08,['2023-08-01 - 2023-08-31'],1.0,1.0
10074172,False,2023-09,['2023-09-01 - 2023-09-21'],1.0,0.7
10074172,False,2023-10,[],1.0,0.0
10074172,False,2023-11,[],1.0,0.0
10074172,False,2023-12,[],1.0,0.0
10074172,False,2024-01,[],1.0,0.0
10074172,False,2024-02,[],1.0,0.0
10074172,False,2024-03,[],1.0,0.0
11362008,False,2023-03,[],1.0,0.0
11362008,False,2023-04,"['2023-04-01 - 2023-04-03', '2023-04-07', '2023-04-09 - 2023-04-11', '2023-04-14 - 2023-04-17', '2023-04-19', '2023-04-23 - 2023-04-27', '2023-04-29 - 2023-04-30']",1.0,0.633
11362008,False,2023-05,"['2023-05-01 - 2023-05-03', '2023-05-05 - 2023-05-10', '2023-05-13 - 2023-05-17', '2023-05-19 - 2023-05-31']",1.0,0.871
11362008,False,2023-06,"['2023-06-01 - 2023-06-05', '2023-06-08 - 2023-06-30']",1.0,0.933
11362008,False,2023-07,"['2023-07-01 - 2023-07-05', '2023-07-07 - 2023-07-20', '2023-07-24 - 2023-07-31']",1.0,0.871
11362008,False,2023-08,['2023-08-01 - 2023-08-31'],1.0,1.0
11362008,False,2023-09,[],1.0,0.0
11362008,False,2023-10,[],1.0,0.0
11362008,False,2023-11,[],1.0,0.0
11362008,False,2023-12,[],1.0,0.0
